cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:06.865,6,10.2.0.1,1591,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:06.865,6,10.2.0.1,1592,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:06.865,6,10.2.0.1,1589,/HWJavaSocket/images/homework_logo.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:10.863,6,10.2.0.1,1589,/HWJavaSocket/deviceday.htm?ip=10.2.0.1&month=MAY&monthId=5
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:14.864,6,10.2.0.1,1589,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:16.865,6,10.2.0.1,1589,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY&monthId=5
text/xml,128.243.19.19,80,orac,2012-05-22 13:18:11.864,6,10.2.0.1,1608,/ReportingWebService/ReportingWebService.asmx
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:19:25.864,6,10.2.0.1,1666,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:19:25.864,6,10.2.0.1,1665,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY&monthId=5
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:20:53.864,6,10.2.0.1,1669,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:20:54.864,6,10.2.0.1,1669,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:20:56.863,6,10.2.0.1,1669,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:20:57.864,6,10.2.0.1,1669,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY&monthId=5
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:20:57.864,6,10.2.0.1,1670,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:21:09.865,6,10.2.0.1,1669,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:21:27.865,6,10.2.0.1,1669,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:00.864,6,10.2.0.1,1675,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:01.864,6,10.2.0.1,1675,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:02.863,6,10.2.0.1,1675,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:04.863,6,10.2.0.1,1675,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:09.864,6,10.2.0.1,1675,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:23:10.865,6,10.2.0.1,1675,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:24:51.864,6,10.2.0.1,1685,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:24:53.863,6,10.2.0.1,1685,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:24:55.864,6,10.2.0.1,1685,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:50.911,6,10.2.0.1,1698,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:54.909,6,10.2.0.1,1698,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:27:55.911,6,10.2.0.1,1700,/HWJavaSocket/images/users.png
