daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.2,22,2012-04-25 18:29:36.722,834,11,6,10.2.0.1,1099
10.2.0.2,8080,2012-04-25 18:29:36.722,656,6,6,10.2.0.1,1659
10.2.0.2,53,2012-04-25 18:29:49.732,90,1,17,10.2.0.1,50973
10.2.0.1,50973,2012-04-25 18:29:49.732,90,1,17,10.2.0.2,53
10.2.0.1,1659,2012-04-25 18:29:56.739,54,1,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:29:56.739,54,1,6,10.2.0.1,1659
10.2.0.2,53,2012-04-25 18:29:59.742,88,1,17,10.2.0.1,64323
10.2.0.1,64323,2012-04-25 18:29:59.742,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:01.745,90,1,17,10.2.0.1,51113
10.2.0.1,51113,2012-04-25 18:30:01.745,90,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:03.747,84,1,17,10.2.0.1,55099
10.2.0.1,55099,2012-04-25 18:30:03.747,84,1,17,10.2.0.2,53
10.2.0.1,1659,2012-04-25 18:30:04.749,54,1,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:30:04.749,54,1,6,10.2.0.1,1659
10.2.0.2,53,2012-04-25 18:30:07.752,81,1,17,10.2.0.1,54223
10.2.0.1,54223,2012-04-25 18:30:07.752,81,1,17,10.2.0.2,53
10.2.0.1,55742,2012-04-25 18:30:13.758,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:13.758,82,1,17,10.2.0.1,55742
10.2.0.1,64903,2012-04-25 18:30:15.761,84,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:15.761,84,1,17,10.2.0.1,64903
10.2.0.2,53,2012-04-25 18:30:19.765,81,1,17,10.2.0.1,64398
10.2.0.1,64398,2012-04-25 18:30:19.765,81,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:26.771,79,1,17,10.2.0.1,64324
10.2.0.1,64324,2012-04-25 18:30:26.771,79,1,17,10.2.0.2,53
10.2.0.1,50688,2012-04-25 18:30:27.773,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:27.773,75,1,17,10.2.0.1,50688
10.2.0.1,53932,2012-04-25 18:30:42.785,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:42.785,88,1,17,10.2.0.1,53932
10.2.0.1,57295,2012-04-25 18:30:56.796,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:30:56.796,82,1,17,10.2.0.1,57295
10.2.0.2,53,2012-04-25 18:31:10.807,79,1,17,10.2.0.1,55059
10.2.0.1,56089,2012-04-25 18:31:10.807,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:31:10.807,75,1,17,10.2.0.1,56089
10.2.0.1,55059,2012-04-25 18:31:10.807,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:31:16.813,104,1,17,10.2.0.1,57101
10.2.0.1,57101,2012-04-25 18:31:16.814,104,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:31:30.825,146,1,17,10.2.0.1,64325
10.2.0.1,64325,2012-04-25 18:31:30.825,146,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:31:37.831,88,1,17,10.2.0.1,57709
10.2.0.1,57709,2012-04-25 18:31:37.831,88,1,17,10.2.0.2,53
10.2.0.1,64348,2012-04-25 18:31:51.841,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:31:51.841,82,1,17,10.2.0.1,64348
10.2.0.2,53,2012-04-25 18:31:53.843,104,1,17,10.2.0.1,59354
10.2.0.1,59354,2012-04-25 18:31:53.844,104,1,17,10.2.0.2,53
