date,10.2.0.1,10.2.0.2,128.243.19.10,128.243.19.110,128.243.19.12,128.243.19.19,128.243.19.20,128.243.19.35,128.243.20.248,128.243.20.6,128.243.21.108,128.243.21.16,128.243.21.248,128.243.22.140,128.243.22.141,128.243.22.244,128.243.22.9,128.243.46.118,192.168.1.64,192.168.1.68,192.168.1.94,192.168.1.96,192.168.217.1,192.168.36.1
2012-5-15:12,65947263,2775505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:15,91924600,3007413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:17,128608951,3885240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:18,165356925,5286756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:20,138001968,6679224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:12,17309,17542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:13,77304,241708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:12,44707,170812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:13,422814,495461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:14,193334,564560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:15,333123,709486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:16,56109,186911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-1:17,2163,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-22:12,244302,101930,0,0,0,0,12257,1130,1699284,54,0,0,0,1724,7926,540,1176,0,0,0,0,0,244,152
2012-5-22:13,73669876,2657929,0,0,518,0,17000,3026,96143,54,999,0,1332,5736,2236,0,154,90,0,0,0,0,1622,1346
2012-5-22:14,37229623,1650952,2318,0,0,0,24788,2696,2495729,54,0,0,0,370,7243,0,2604,180,0,0,0,0,5722,5350
2012-5-22:15,18438571,593884,0,0,0,0,192,1403,1384,0,0,0,0,0,224,0,0,0,0,0,0,0,2886,2700
2012-5-25:14,55251099,1717913,0,0,0,0,8647,2894,335282,0,0,54,0,0,6609,0,528,90,0,0,0,0,6036,6222
2012-5-29:12,386918,776,0,0,0,968,1156,55,2048100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-29:15,18790243,668050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-29:16,62703,190254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:14,147398,184692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,828,828
2012-5-2:15,25877,67895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-2:16,28683290,1017279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:12,85933132,3165306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:13,9619890,290448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:14,38227500,984582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-3:15,64664,349615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:18,85390088,3366047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:19,18958352,536097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-4:20,57122229,1985405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,276,276
2012-5-4:21,85679236,2597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,276,276
2012-5-8:18,9606511,363339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0
2012-5-8:19,9588043,292744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4192,0,0,0,3274,3366
2012-5-8:20,96068637,8590973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,0,0,0,2340,2340
2012-5-8:21,9875944,4874406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,1176,1176
2012-5-9:18,28837944,1920933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-9:19,66948596,2408728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,0,0,0,642,642
2012-5-9:20,124487376,4432038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,0,0,0,1552,1736
2012-5-9:21,95760408,3399970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,2430,2430
