2012-4-11:19,192.168.217.1,276
2012-4-11:19,192.168.36.1,552
2012-4-11:20,10.2.0.1,32367
2012-4-11:20,10.2.0.2,120796
2012-4-11:20,192.168.1.68,3216
2012-4-11:20,192.168.217.1,3072
2012-4-11:20,192.168.36.1,3072
2012-4-11:21,10.2.0.1,20877
2012-4-11:21,10.2.0.2,24180
2012-4-11:21,192.168.1.68,2382
2012-4-11:21,192.168.217.1,4146
2012-4-11:21,192.168.36.1,4146
2012-4-11:22,10.2.0.1,20402
2012-4-11:22,10.2.0.2,37815
2012-4-11:22,192.168.1.68,1488
2012-4-11:22,192.168.217.1,2520
2012-4-11:22,192.168.36.1,2520
2012-4-11:23,10.2.0.1,5294
2012-4-11:23,10.2.0.2,4696
2012-4-13:22,10.2.0.1,54965754
2012-4-13:22,10.2.0.2,2090091
2012-4-13:23,10.2.0.1,219578839
2012-4-13:23,10.2.0.2,6736401
2012-4-14:12,10.2.0.1,18376322
2012-4-14:12,10.2.0.2,793388
2012-4-14:12,192.168.1.68,526
2012-4-14:12,192.168.217.1,450
2012-4-14:12,192.168.36.1,450
2012-4-14:13,10.2.0.1,18375171
2012-4-14:13,10.2.0.2,756151
2012-4-14:14,10.2.0.1,12441
2012-4-14:14,10.2.0.2,82427
2012-4-14:15,10.2.0.1,55270026
2012-4-14:15,10.2.0.2,18292970
2012-4-14:16,10.2.0.1,45385
2012-4-14:16,10.2.0.2,180322
2012-4-14:18,10.2.0.1,37639
2012-4-14:18,10.2.0.2,25258
2012-4-14:20,10.2.0.1,36837885
2012-4-14:20,10.2.0.2,9648417
2012-4-14:21,10.2.0.1,128819953
2012-4-14:21,10.2.0.2,4802942
2012-4-14:22,10.2.0.1,202035121
2012-4-14:22,10.2.0.2,5796325
2012-4-14:23,10.2.0.1,146972250
2012-4-14:23,10.2.0.2,4216396
2012-4-15:10,10.2.0.1,40350
2012-4-15:10,10.2.0.2,70183
2012-4-15:10,192.168.1.68,924
2012-4-15:10,192.168.217.1,552
2012-4-15:10,192.168.36.1,552
2012-4-15:11,10.2.0.1,91880466
2012-4-15:11,10.2.0.2,2805153
2012-4-15:12,10.2.0.1,65947263
2012-4-15:12,10.2.0.2,2775505
2012-4-15:15,10.2.0.1,91924600
2012-4-15:15,10.2.0.2,3007413
2012-4-15:17,10.2.0.1,128608951
2012-4-15:17,10.2.0.2,3885240
2012-4-15:18,10.2.0.1,165356925
2012-4-15:18,10.2.0.2,5286756
2012-4-15:20,10.2.0.1,138001968
2012-4-15:20,10.2.0.2,6679224
2012-4-16:12,10.2.0.1,17309
2012-4-16:12,10.2.0.2,17542
2012-4-16:13,10.2.0.1,77304
2012-4-16:13,10.2.0.2,241708
2012-4-1:12,10.2.0.1,44707
2012-4-1:12,10.2.0.2,170812
2012-4-1:13,10.2.0.1,422814
2012-4-1:13,10.2.0.2,495461
2012-4-1:14,10.2.0.1,193334
2012-4-1:14,10.2.0.2,564560
2012-4-1:15,10.2.0.1,333123
2012-4-1:15,10.2.0.2,709486
2012-4-1:16,10.2.0.1,56109
2012-4-1:16,10.2.0.2,186911
2012-4-1:17,10.2.0.1,2163
2012-4-1:17,10.2.0.2,1335
2012-4-22:12,10.2.0.1,244302
2012-4-22:12,10.2.0.2,101930
2012-4-22:12,128.243.19.20,12257
2012-4-22:12,128.243.19.35,1130
2012-4-22:12,128.243.20.248,1699284
2012-4-22:12,128.243.20.6,54
2012-4-22:12,128.243.22.140,1724
2012-4-22:12,128.243.22.141,7926
2012-4-22:12,128.243.22.244,540
2012-4-22:12,128.243.22.9,1176
2012-4-22:12,192.168.217.1,244
2012-4-22:12,192.168.36.1,152
2012-4-22:13,10.2.0.1,73669876
2012-4-22:13,10.2.0.2,2657929
2012-4-22:13,128.243.19.12,518
2012-4-22:13,128.243.19.20,17000
2012-4-22:13,128.243.19.35,3026
2012-4-22:13,128.243.20.248,96143
2012-4-22:13,128.243.20.6,54
2012-4-22:13,128.243.21.108,999
2012-4-22:13,128.243.21.248,1332
2012-4-22:13,128.243.22.140,5736
2012-4-22:13,128.243.22.141,2236
2012-4-22:13,128.243.22.9,154
2012-4-22:13,128.243.46.118,90
2012-4-22:13,192.168.217.1,1622
2012-4-22:13,192.168.36.1,1346
2012-4-22:14,10.2.0.1,37229623
2012-4-22:14,10.2.0.2,1650952
2012-4-22:14,128.243.19.10,2318
2012-4-22:14,128.243.19.20,24788
2012-4-22:14,128.243.19.35,2696
2012-4-22:14,128.243.20.248,2495729
2012-4-22:14,128.243.20.6,54
2012-4-22:14,128.243.22.140,370
2012-4-22:14,128.243.22.141,7243
2012-4-22:14,128.243.22.9,2604
2012-4-22:14,128.243.46.118,180
2012-4-22:14,192.168.217.1,5722
2012-4-22:14,192.168.36.1,5350
2012-4-22:15,10.2.0.1,18438571
2012-4-22:15,10.2.0.2,593884
2012-4-22:15,128.243.19.20,192
2012-4-22:15,128.243.19.35,1403
2012-4-22:15,128.243.20.248,1384
2012-4-22:15,128.243.22.141,224
2012-4-22:15,192.168.217.1,2886
2012-4-22:15,192.168.36.1,2700
2012-4-25:14,10.2.0.1,55251099
2012-4-25:14,10.2.0.2,1717913
2012-4-25:14,128.243.19.20,8647
2012-4-25:14,128.243.19.35,2894
2012-4-25:14,128.243.20.248,335282
2012-4-25:14,128.243.21.16,54
2012-4-25:14,128.243.22.141,6609
2012-4-25:14,128.243.22.9,528
2012-4-25:14,128.243.46.118,90
2012-4-25:14,192.168.217.1,6036
2012-4-25:14,192.168.36.1,6222
2012-4-29:12,10.2.0.1,386918
2012-4-29:12,10.2.0.2,776
2012-4-29:12,128.243.19.19,968
2012-4-29:12,128.243.19.20,1156
2012-4-29:12,128.243.19.35,55
2012-4-29:12,128.243.20.248,2048100
2012-4-29:15,10.2.0.1,18790243
2012-4-29:15,10.2.0.2,668050
2012-4-29:16,10.2.0.1,62703
2012-4-29:16,10.2.0.2,190254
2012-4-2:14,10.2.0.1,147398
2012-4-2:14,10.2.0.2,184692
2012-4-2:14,192.168.1.96,1758
2012-4-2:14,192.168.217.1,828
2012-4-2:14,192.168.36.1,828
2012-4-2:15,10.2.0.1,25877
2012-4-2:15,10.2.0.2,67895
2012-4-2:16,10.2.0.1,28683290
2012-4-2:16,10.2.0.2,1017279
2012-4-3:12,10.2.0.1,85933132
2012-4-3:12,10.2.0.2,3165306
2012-4-3:13,10.2.0.1,9619890
2012-4-3:13,10.2.0.2,290448
2012-4-3:14,10.2.0.1,38227500
2012-4-3:14,10.2.0.2,984582
2012-4-3:15,10.2.0.1,64664
