deviceIp,year,month,day,hour,nbytes
192.168.1.64,2012,5,9,21,1302
192.168.1.68,2012,5,11,16,62
192.168.1.68,2012,5,11,19,1350
192.168.1.68,2012,5,11,20,3216
192.168.1.68,2012,5,11,21,2382
192.168.1.68,2012,5,11,22,1488
192.168.1.68,2012,5,14,12,526
192.168.1.68,2012,5,15,10,924
192.168.1.68,2012,6,11,17,800
128.243.20.6,2012,5,22,12,54
128.243.20.6,2012,5,22,13,54
128.243.20.6,2012,5,22,14,54
128.243.22.140,2012,5,22,12,1724
128.243.22.140,2012,5,22,13,5736
128.243.22.140,2012,5,22,14,370
128.243.22.9,2012,5,22,12,1176
128.243.22.9,2012,5,22,13,154
128.243.22.9,2012,5,22,14,2604
128.243.22.9,2012,5,25,14,528
128.243.20.248,2012,5,22,12,1699284
128.243.20.248,2012,5,22,13,96143
128.243.20.248,2012,5,22,14,2495729
128.243.20.248,2012,5,22,15,1384
128.243.20.248,2012,5,25,14,335282
128.243.20.248,2012,5,29,12,2048100
128.243.19.35,2012,5,22,12,1130
128.243.19.35,2012,5,22,13,3026
128.243.19.35,2012,5,22,14,2696
128.243.19.35,2012,5,22,15,1403
128.243.19.35,2012,5,25,14,2894
128.243.19.35,2012,5,29,12,55
128.243.19.20,2012,5,22,12,12257
128.243.19.20,2012,5,22,13,17000
128.243.19.20,2012,5,22,14,24788
128.243.19.20,2012,5,22,15,192
128.243.19.20,2012,5,25,14,8647
128.243.19.20,2012,5,29,12,1156
128.243.22.141,2012,5,22,12,7926
128.243.22.141,2012,5,22,13,2236
128.243.22.141,2012,5,22,14,7243
128.243.22.141,2012,5,22,15,224
128.243.22.141,2012,5,25,14,6609
128.243.22.244,2012,5,22,12,540
128.243.19.12,2012,5,22,13,518
128.243.46.118,2012,5,22,13,90
128.243.46.118,2012,5,22,14,180
128.243.46.118,2012,5,25,14,90
128.243.21.248,2012,5,22,13,1332
128.243.21.108,2012,5,22,13,999
128.243.19.10,2012,5,22,14,2318
128.243.21.16,2012,5,25,14,54
128.243.19.19,2012,5,29,12,968
192.168.1.67,2012,6,21,14,524
192.168.1.70,2012,7,11,11,248
